#
# YOU'RE NOT SUPPOSED TO READ THAT
#
#1	[Air]		
#2	[Earth]		
#3	[Fire]		
#4   [water]     
5	Acid Rain		=	Rain			+	Smoke
6	Airplane		=	Bird			+	Steel
7	Algae			=	Water				+	Plant
8	Allergy			=	Human			+	Dust
9	Alligator		=	Lizzard			+	Swamp
10	Angel			=	Human			+	Bird
11	Antartica		=	Desert			+	Snow
12	Aquarium		=	Water			+	Glass
13	Archipelago		=	Isle			+	Isle
14	Armor			=	Steel			+	Tool
15	Ash				=	Volcano			+	Energy
16	Astronaut		=	Human			+	Moon
17	Atmosphere		=	Pressure		+	Air
18	Atomic Bomb		=	Energy			+	Explosion
19	Axe				=	Blade			+	Wood
20	Bacteria		=	Life			+	Swamp
21	Barn			=	Livestock		+	House
22	Bayonet			=	Gun				+	Blade
23	Beach			=	Sand			+	Ocean
24	Beaver			=	Wild Animal		+	Wood
25	Bicyle			=	Wheel			+	Wheel
26	Bird			=	Life			+	Sky
27	Birdhouse		=	Bird			+	House
28	Blade			=	Metal			+	Stone
29	Blizzard		=	Storm			+	Snow
30	Blood			=	Blade 			+	Human
31	Boat			=	Water			+	Wood
32	Boiler			=	Steam			+	Metal
33	Bread			=	Flour			+	Fire
34	Brick			=	Fire			+	Mud
35	Bullet			=	Gunpowder		+	Metal
36	Butcher			=	Human			+	Meat
37	Cactus 			=	Plant			+	Sand
38	Campfire		=	Fire			+	Wood
39	Car				=	Wheel			+	Metal
40	Caviar			=	Hard Roe		+	Human
41	Cereal			=	Field			+	Farmer
42	Chainsaw		=	Axe				+	Electricity
43	Charcoal		=	Fire			+	Wood
44	Cheese			=	Time			+	Milk
45	Chicken			=	Livestock		+	Bird
46	Christmas Tree	=	Light Bulb		+	Tree
47	Clay			=	Sand			+	Mud
48	Clock			=	Electricity		+	Time
49	Cloud			=	Air				+	Steam
50	Coal			=	Pressure		+	Plant
51	Coffin			=	Wood			+	Corpse
52	Cold			=	Human			+	Rain
53	Cookie			=	Dought			+	Fruit
54	Corpse			=	Human			+	Gun
55	Cow				=	Grass			+	Livestock
56	Cuckoo			=	Bird			+	Clock
57	Cyclist			=	Bicyle			+	Human
58	Day				=	Sun				+	Time
59	Desert			=	Sand			+	Sand
60	Diamond			=	Pressure		+	Coal
61	Dinosaur		=	Lizard			+	Time
62	Dog				=	Human			+	Wild Animal
63	Double Rainbow	=	Rainbow			+	Rainbow
64	Dough			=	Water			+	Flour
65	Dragon			=	Fire			+	Lizard
66	Duck			=	Water			+	Bird
67	Dune			=	Sand			+	Wind
68	Dust			=	Earth			+	Air
69	Earthquake		=	Earth			+	Energy
70	Eclipse			=	Moon			+	Sun
71	Egg				=	Life			+	Stone
72	Electric Eel	=	Electricity		+	Fish
73	Electrician		=	Electricity		+	Human
74	Electricity		=	Energy			+	Metal
75	Energy			=	Air				+	Fire
76	Engineer		=	Human			+	Tool
77	Eruption		=	Volcano			+	Energy
78	Explosion		=	Gunpowder		+	Fire
79	Family			=	Human			+	House
80	Farmer			=	Field			+	Human
81	Field			=	Earth			+	Tool
82	Fireman			=	Fire			+	Human
83	Fireplace		=	Campfire		+	House
84	Fireworks		=	Explosion		+	Sky
85	Fish			=	Hard Roe		+	Time
86	Flood			=	Rain			+	Rain
87	Flour			=	Cereals			+	Stone
88	Flute			=	Wind			+	Wood
89	Fog				=	Cloud			+	Earth
90	Forest			=	Tree			+	Tree
91	Frankenstein	=	Zombie			+	Eletricity
92	Fruit			=	Tree			+	Farmer
93	Fruit Tree		=	Fruit			+	Tree
94	Garden			=	Grass			+	Plant
95	Geyser			=	Steam			+	Earth
96	Glass			=	Fire			+	Sand
97	Glasses			=	Metal			+	Glass
98	Glasshouse		=	Plant			+	Glass
99	Golem			=	Clay			+	Life
100	Grass			=	Plant			+	Earth
101	Grave			=	Coffin			+	Earth
102	Gravestone		=	Grave			+	Stone
103	Graveyard		=	Grave			+	Grave
104	Grenade			=	Explosion		+	Metal
105	Gun				=	Metal			+	Bullet
106	Gunpowder		=	Fire			+	Dust
107	Hail			=	Ice				+	Rain
108	Ham				=	Meat			+	Smoke
109	Hard Roe		=	Egg				+	Water
110	Hay				=	Grass			+	Farmer
111	Hero			=	Knight			+	Dragon
112	Horizon			=	Earth			+	Sky
113	Horse			=	Livestock		+	Hay
114	Hospital		=	House			+	Sickness
115	Hourglass		=	Sand			+	Glass
116	House			=	Wood			+	Human
117	Human			=	Earth			+	Life
118	Hurricane		=	Wind			+	Energy
119	Ice				=	Cold			+	Water
120	Ice Cream		=	Cold			+	Milk
121	Isle			=	Ocean			+	Volcano
122	Knight			=	Armor			+	Human
123	Lava			=	Earth			+	Fire
124	Life			=	Swamp			+	Energy
125	Light			=	Electricity		+	Light Bulb
126	Light Bulb		=	Glass			+	Electricity
127	Livestock		=	Farmer			+	Life
128	Lizard			=	Egg				+	Swamp
129	Lumberjack		=	Axe				+	Human
130	Meat			=	Cow				+	Tool
131	Metal			=	Fire			+	Stone
132	Milk			=	Farmer			+	Cow
133	Moon			=	Sky				+	Cheese
134	Mud				=	Water			+	Earth
135	Night			=	Moon			+	Time
136	Ocean			=	Water			+	Sea
137	Oil				=	Sunflower		+	Pressure
138	Omelette		=	Egg				+	Fire
139	Orchard			=	Fruit Tree		+	Fruit Tree
140	Owl				=	Bird			+	Night
141	Palm			=	Tree			+	Isle
142	Penguin			=	Wild Animal		+	Ice
143	Phoenix			=	Fire			+	Bird
144	Pig				=	Livestock		+	Mud
145	Pipe			=	Tobacco			+	Wood
146	Plankton		=	Water			+	Life
147	Plant			=	Rain			+	Earth
148	Pottery			=	Fire			+	Clay
149	Pressure		=	Earth			+	Earth
150	Rain			=	Water			+	Air
151	Rainbow			=	Sun				+	Rain
152	Rust			=	Air				+	Metal
153	Sailboat		=	Wind			+	Boat
154	Sand			=	Air				+	Stone
155	Sandwich		=	Bread			+	Ham
156	Scythe			=	Blade			+	Grass
157	Sea				=	Water			+	Water
158	Seasickness		=	Sea				+	Sickness
159	Seaweed			=	Sea				+	Plant
160	Sex				=	Human			+	Human
161	Sickness		=	Human			+	Rain
162	Sky				=	Air				+	Cloud
163	Smoke			=	Fire			+	Wood
164	Snake			=	Wild Animal		+	Wire
165	Snow			=	Cold			+	Rain
166	Snowman			=	Human			+	Snow
167	Solar Cell		=	Sun				+	Tool
168	Star			=	Night			+	Sky
169	Steam			=	Water			+	Fire
170	Steam Boat		=	Steam Engine	+	Water
171	Steam Engine	=	Boiler			+	Tool
172	Steel			=	Metal			+	Coal
173	Stone			=	Air				+	Lava
174	Storm			=	Energy			+	Cloud
175	Sun				=	Sky				+	Fire
176	Sundial			=	Sun				+	Clock
177	Sunflower		=	Sun				+	Plant
178	Swamp			=	Mud				+	Plant
179	Sword			=	Steel			+	Blade
180	Tides			=	Sea				+	Moon
181	Time			=	Sand			+	Glass
182	Toast			=	Fire			+	Sandwich
183	Tobacco			=	Plant			+	Fire
184	Tool			=	Metal			+	Human
185	Train			=	Steam Engine	+	Steel
186	Tree			=	Plant			+	Time
187	Tsunami			=	Earthquake		+	Ocean
188	Turtle			=	Egg				+	Sand
189	Twilight		=	Night			+	Day
190	Volcano			=	Lava			+	Earth
191	Warrior			=	Human			+	Sword
192	Waterpipe		=	Water			+	Pipe
193	Wave			=	Wind			+	Sea
194	Wheel			=	Tool			+	Wood
195	Wild Animal		=	Forest			+	Life
196	Wind			=	Pressure		+	Air
197	Windmill		=	House			+	Wind
198	Wire			=	Metal			+	Eletricity
199	Wood			=	Tool			+	Tree
200	Zombie			=	Corpse			+	Life
201	Nerd			=	Human			+	Glasses
202	Alcohol			=	Fruit			+	Time
203	Salt			=	Sun				+	Sea
204	Paper			=	Pressure		+	Wood
205	Mountain		=	Earth			+	Earthquake
206	Doctor			=	Human			+	Hospital
207	Newspaper		=	Paper			+	Paper
208	Cart			=	Wood			+	Wheel
209	Wagon			=	Cart			+	Horse
210	Iceberg			=	Ice				+	Mountian
